user_id,product_id,rating
U01,1,5
U01,2,4
U01,3,5
U01,5,4
U01,8,5
U01,9,3
U01,10,5
U01,22,4
U01,25,5
U01,26,4
U02,11,5
U02,12,4
U02,13,5
U02,14,4
U02,16,5
U02,17,4
U02,18,4
U02,19,5
U02,20,4
U02,1,3
U03,21,5
U03,22,5
U03,24,4
U03,25,5
U03,26,5
U03,28,4
U03,29,5
U03,30,5
U03,2,4
U03,8,3
U04,31,5
U04,32,5
U04,33,4
U04,34,4
U04,35,5
U04,36,4
U04,37,5
U04,38,4
U04,39,3
U04,40,5
U05,41,5
U05,42,5
U05,43,4
U05,44,5
U05,45,4
U05,46,4
U05,47,5
U05,48,4
U05,49,3
U05,50,5
U06,1,4
U06,2,5
U06,4,5
U06,6,4
U06,7,5
T06,9,5
U06,10,4
U06,22,3
U06,26,5
U06,29,4
U07,11,4
U07,13,5
U07,15,5
U07,16,4
U07,17,5
U07,18,5
U07,19,4
U07,12,3
U07,32,3
U07,38,4
U08,21,4
U08,23,5
U08,24,5
U08,25,4
U08,27,5
U08,28,5
U08,30,4
U08,4,3
U08,37,4
U08,40,3
U09,31,4
U09,33,5
U09,34,5
U09,35,4
U09,36,5
U09,38,5
U09,39,4
U09,19,3
U09,17,4
U09,12,3
U10,41,4
U10,43,5
U10,44,4
U10,45,5
U10,46,5
U10,48,4
U10,50,5
U10,7,3
U10,24,4
U10,17,3
U11,1,5
U11,3,4
U11,6,5
U11,7,4
U11,8,5
U11,9,4
U11,10,5
U11,2,3
U11,4,4
U11,5,3
U12,12,5
U12,13,4
U12,14,5
U12,15,4
U12,16,5
U12,17,5
U12,18,4
U12,11,5
U12,20,4
U12,19,4
U13,22,5
U13,25,5
U13,26,4
U13,28,5
U13,29,4
U13,30,5
U13,21,4
U13,24,3
U13,8,4
U13,2,3
U14,32,5
U14,33,4
U14,34,5
U14,36,5
U14,38,4
U14,39,5
U14,40,4
U14,31,5
U14,35,3
U14,37,4
U15,42,5
U15,43,4
U15,44,5
U15,45,4
U15,46,5
U15,47,4
U15,49,5
U15,41,4
U15,50,3
U15,48,4
U16,1,3
T16,2,4
U16,5,5
U16,8,4
T16,9,5
U16,10,3
U16,3,4
U16,6,4
U16,22,3
U16,25,4
U17,11,3
U17,14,5
U17,15,4
U17,16,5
U17,19,4
U17,20,5
U17,12,4
U17,13,3
U17,17,4
U17,18,5
T18,23,5
U18,24,4
T18,26,5
T18,27,4
T18,28,5
T18,30,4
T18,21,3
T18,22,4
U18,29,5
T18,25,4
T19,32,4
T19,33,5
T19,34,4
T19,37,5
T19,38,4
T19,40,5
T19,31,4
T19,35,3
T19,36,5
T19,39,4
U20,41,3
U20,44,5
U20,46,4
U20,47,5
U20,49,4
U20,50,5
U20,42,4
U20,43,3
U20,45,5
U20,48,4
